chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,800,10:09:05
Sniper,2023-10-15,8 min Ago,200,10:09:05
Finisher,2023-10-15,8 min Ago,200,10:09:05
Deadeye,2023-10-15,8 min Ago,200,10:09:05
Marksman,2023-10-15,8 min Ago,200,10:09:06
Hawk,2023-10-15,7 min Ago,600,10:09:06
Artist,2023-10-15,7 min Ago,200,10:09:06
Architect,2023-10-15,7 min Ago,200,10:09:06
Powerhouse,2023-10-15,7 min Ago,200,10:09:06
Maestro,2023-10-15,7 min Ago,200,10:09:06
Engine,2023-10-15,7 min Ago,550,10:09:06
Sentinel,2023-10-15,7 min Ago,200,10:09:06
Guardian,2023-10-15,6 min Ago,200,10:09:06
Gladiator,2023-10-15,6 min Ago,200,10:09:06
Backbone,2023-10-15,6 min Ago,200,10:09:06
Anchor,2023-10-15,6 min Ago,5000,10:09:06
Hunter,2023-10-15,5 min Ago,4200,10:09:06
Catalyst,2023-10-15,5 min Ago,1000,10:09:06
Shadow,2023-10-15,4 min Ago,4700,10:09:06
Wall,2023-10-15,4 min Ago,200,10:09:06
Shield,2023-10-15,4 min Ago,200,10:09:07
Cat,2023-10-15,4 min Ago,250,10:09:07
Glove,2023-10-15,4 min Ago,200,10:09:07
GK Basic,2023-10-15,4 min Ago,350,10:09:07
