chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,800,14:09:04
Sniper,2023-10-15,8 min Ago,200,14:09:04
Finisher,2023-10-15,8 min Ago,300,14:09:04
Deadeye,2023-10-15,8 min Ago,200,14:09:04
Marksman,2023-10-15,8 min Ago,200,14:09:04
Hawk,2023-10-15,7 min Ago,700,14:09:04
Artist,2023-10-15,7 min Ago,200,14:09:04
Architect,2023-10-15,7 min Ago,200,14:09:04
Powerhouse,2023-10-15,7 min Ago,200,14:09:04
Maestro,2023-10-15,7 min Ago,200,14:09:04
Engine,2023-10-15,7 min Ago,600,14:09:05
Sentinel,2023-10-15,6 min Ago,200,14:09:08
Guardian,2023-10-15,6 min Ago,200,14:09:08
Gladiator,2023-10-15,6 min Ago,200,14:09:09
Backbone,2023-10-15,6 min Ago,200,14:09:09
Anchor,2023-10-15,6 min Ago,2400,14:09:09
Hunter,2023-10-15,5 min Ago,4200,14:09:10
Catalyst,2023-10-15,5 min Ago,450,14:09:10
Shadow,2023-10-15,4 min Ago,4700,14:09:11
Wall,2023-10-15,4 min Ago,200,14:09:11
Shield,2023-10-15,4 min Ago,200,14:09:11
Cat,2023-10-15,4 min Ago,200,14:09:11
Glove,2023-10-15,4 min Ago,200,14:09:11
GK Basic,2023-10-15,4 min Ago,350,14:09:11
