chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,900,11:09:05
Sniper,2023-10-15,8 min Ago,200,11:09:05
Finisher,2023-10-15,8 min Ago,350,11:09:05
Deadeye,2023-10-15,8 min Ago,200,11:09:05
Marksman,2023-10-15,8 min Ago,200,11:09:05
Hawk,2023-10-15,7 min Ago,700,11:09:05
Artist,2023-10-15,7 min Ago,200,11:09:05
Architect,2023-10-15,7 min Ago,200,11:09:05
Powerhouse,2023-10-15,7 min Ago,200,11:09:05
Maestro,2023-10-15,7 min Ago,200,11:09:05
Engine,2023-10-15,7 min Ago,600,11:09:05
Sentinel,2023-10-15,7 min Ago,200,11:09:05
Guardian,2023-10-15,7 min Ago,200,11:09:05
Gladiator,2023-10-15,7 min Ago,200,11:09:05
Backbone,2023-10-15,6 min Ago,200,11:09:06
Anchor,2023-10-15,6 min Ago,2400,11:09:06
Hunter,2023-10-15,5 min Ago,4200,11:09:06
Catalyst,2023-10-15,5 min Ago,450,11:09:06
Shadow,2023-10-15,5 min Ago,4700,11:09:06
Wall,2023-10-15,5 min Ago,200,11:09:06
Shield,2023-10-15,4 min Ago,200,11:09:06
Cat,2023-10-15,4 min Ago,300,11:09:06
Glove,2023-10-15,4 min Ago,200,11:09:06
GK Basic,2023-10-15,4 min Ago,400,11:09:06
