chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,800,08:09:05
Sniper,2023-10-16,8 min Ago,200,08:09:08
Finisher,2023-10-16,8 min Ago,550,08:09:08
Deadeye,2023-10-16,8 min Ago,200,08:09:08
Marksman,2023-10-16,8 min Ago,200,08:09:08
Hawk,2023-10-16,7 min Ago,700,08:09:08
Artist,2023-10-16,7 min Ago,200,08:09:08
Architect,2023-10-16,7 min Ago,200,08:09:08
Powerhouse,2023-10-16,7 min Ago,200,08:09:08
Maestro,2023-10-16,7 min Ago,250,08:09:08
Engine,2023-10-16,7 min Ago,650,08:09:08
Sentinel,2023-10-16,6 min Ago,250,08:09:08
Guardian,2023-10-16,6 min Ago,200,08:09:09
Gladiator,2023-10-16,6 min Ago,200,08:09:09
Backbone,2023-10-16,6 min Ago,250,08:09:09
Anchor,2023-10-16,6 min Ago,2700,08:09:09
Hunter,2023-10-16,6 min Ago,4900,08:09:09
Catalyst,2023-10-16,5 min Ago,1000,08:09:09
Shadow,2023-10-16,5 min Ago,4800,08:09:09
Wall,2023-10-16,5 min Ago,200,08:09:09
Shield,2023-10-16,5 min Ago,200,08:09:09
Cat,2023-10-16,5 min Ago,300,08:09:09
Glove,2023-10-16,5 min Ago,200,08:09:09
GK Basic,2023-10-16,5 min Ago,400,08:09:10
