chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,1000,02:09:05
Sniper,2023-10-15,8 min Ago,200,02:09:05
Finisher,2023-10-15,8 min Ago,1000,02:09:05
Deadeye,2023-10-15,8 min Ago,200,02:09:05
Marksman,2023-10-15,8 min Ago,200,02:09:05
Hawk,2023-10-15,8 min Ago,650,02:09:05
Artist,2023-10-15,8 min Ago,200,02:09:05
Architect,2023-10-15,8 min Ago,200,02:09:05
Powerhouse,2023-10-15,7 min Ago,200,02:09:05
Maestro,2023-10-15,7 min Ago,200,02:09:05
Engine,2023-10-15,7 min Ago,650,02:09:05
Sentinel,2023-10-15,7 min Ago,250,02:09:06
Guardian,2023-10-15,7 min Ago,200,02:09:06
Gladiator,2023-10-15,7 min Ago,200,02:09:06
Backbone,2023-10-15,7 min Ago,200,02:09:07
Anchor,2023-10-15,7 min Ago,2600,02:09:07
Hunter,2023-10-15,6 min Ago,9000,02:09:07
Catalyst,2023-10-15,6 min Ago,550,02:09:07
Shadow,2023-10-15,6 min Ago,5000,02:09:07
Wall,2023-10-15,6 min Ago,200,02:09:07
Shield,2023-10-15,6 min Ago,200,02:09:07
Cat,2023-10-15,6 min Ago,350,02:09:07
Glove,2023-10-15,6 min Ago,200,02:09:07
GK Basic,2023-10-15,6 min Ago,450,02:09:07
