chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,950,15:09:05
Sniper,2023-10-15,8 min Ago,200,15:09:05
Finisher,2023-10-15,8 min Ago,200,15:09:05
Deadeye,2023-10-15,8 min Ago,200,15:09:05
Marksman,2023-10-15,8 min Ago,200,15:09:09
Hawk,2023-10-15,7 min Ago,700,15:09:09
Artist,2023-10-15,7 min Ago,200,15:09:09
Architect,2023-10-15,7 min Ago,200,15:09:10
Powerhouse,2023-10-15,7 min Ago,200,15:09:10
Maestro,2023-10-15,7 min Ago,200,15:09:10
Engine,2023-10-15,7 min Ago,600,15:09:10
Sentinel,2023-10-15,7 min Ago,200,15:09:10
Guardian,2023-10-15,6 min Ago,200,15:09:11
Gladiator,2023-10-15,6 min Ago,200,15:09:11
Backbone,2023-10-15,6 min Ago,200,15:09:11
Anchor,2023-10-15,5 min Ago,5000,15:09:11
Hunter,2023-10-15,4 min Ago,4200,15:09:11
Catalyst,2023-10-15,4 min Ago,450,15:09:11
Shadow,2023-10-15,3 min Ago,4800,15:09:11
Wall,2023-10-15,3 min Ago,200,15:09:12
Shield,2023-10-15,3 min Ago,200,15:09:12
Cat,2023-10-15,3 min Ago,200,15:09:12
Glove,2023-10-15,3 min Ago,200,15:09:12
GK Basic,2023-10-15,3 min Ago,350,15:09:12
