chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,950,16:09:08
Sniper,2023-10-15,8 min Ago,200,16:09:08
Finisher,2023-10-15,8 min Ago,400,16:09:08
Deadeye,2023-10-15,8 min Ago,200,16:09:08
Marksman,2023-10-15,8 min Ago,200,16:09:09
Hawk,2023-10-15,8 min Ago,700,16:09:09
Artist,2023-10-15,7 min Ago,200,16:09:09
Architect,2023-10-15,7 min Ago,200,16:09:09
Powerhouse,2023-10-15,7 min Ago,200,16:09:09
Maestro,2023-10-15,7 min Ago,200,16:09:09
Engine,2023-10-15,7 min Ago,600,16:09:09
Sentinel,2023-10-15,6 min Ago,200,16:09:09
Guardian,2023-10-15,6 min Ago,200,16:09:09
Gladiator,2023-10-15,6 min Ago,200,16:09:10
Backbone,2023-10-15,6 min Ago,200,16:09:10
Anchor,2023-10-15,6 min Ago,5000,16:09:10
Hunter,2023-10-15,5 min Ago,4200,16:09:11
Catalyst,2023-10-15,5 min Ago,400,16:09:11
Shadow,2023-10-15,4 min Ago,4800,16:09:11
Wall,2023-10-15,4 min Ago,200,16:09:11
Shield,2023-10-15,4 min Ago,200,16:09:11
Cat,2023-10-15,4 min Ago,200,16:09:11
Glove,2023-10-15,4 min Ago,200,16:09:12
GK Basic,2023-10-15,4 min Ago,400,16:09:12
