chem,date,delay,price,time
Basic,2023-10-15,9 min Ago,700,17:09:11
Sniper,2023-10-15,9 min Ago,200,17:09:11
Finisher,2023-10-15,8 min Ago,400,17:09:11
Deadeye,2023-10-15,8 min Ago,200,17:09:11
Marksman,2023-10-15,8 min Ago,200,17:09:11
Hawk,2023-10-15,8 min Ago,700,17:09:11
Artist,2023-10-15,7 min Ago,200,17:09:11
Architect,2023-10-15,7 min Ago,200,17:09:11
Powerhouse,2023-10-15,7 min Ago,200,17:09:11
Maestro,2023-10-15,7 min Ago,200,17:09:12
Engine,2023-10-15,7 min Ago,650,17:09:12
Sentinel,2023-10-15,6 min Ago,200,17:09:12
Guardian,2023-10-15,6 min Ago,200,17:09:12
Gladiator,2023-10-15,6 min Ago,200,17:09:12
Backbone,2023-10-15,5 min Ago,200,17:09:12
Anchor,2023-10-15,5 min Ago,2400,17:09:12
Hunter,2023-10-15,4 min Ago,4100,17:09:12
Catalyst,2023-10-15,3 min Ago,400,17:09:12
Shadow,2023-10-15,2 min Ago,4800,17:09:12
Wall,2023-10-15,2 min Ago,200,17:09:12
Shield,2023-10-15,1 min Ago,200,17:09:12
Cat,2023-10-15,1 min Ago,200,17:09:12
Glove,2023-10-15,58 sec Ago,200,17:09:12
GK Basic,2023-10-15,45 sec Ago,250,17:09:12
