chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,950,04:09:05
Sniper,2023-10-15,8 min Ago,200,04:09:05
Finisher,2023-10-15,8 min Ago,600,04:09:05
Deadeye,2023-10-15,8 min Ago,250,04:09:05
Marksman,2023-10-15,8 min Ago,200,04:09:05
Hawk,2023-10-15,8 min Ago,800,04:09:05
Artist,2023-10-15,7 min Ago,200,04:09:06
Architect,2023-10-15,7 min Ago,200,04:09:06
Powerhouse,2023-10-15,7 min Ago,200,04:09:06
Maestro,2023-10-15,7 min Ago,200,04:09:06
Engine,2023-10-15,7 min Ago,650,04:09:06
Sentinel,2023-10-15,7 min Ago,300,04:09:06
Guardian,2023-10-15,7 min Ago,200,04:09:06
Gladiator,2023-10-15,7 min Ago,200,04:09:06
Backbone,2023-10-15,7 min Ago,200,04:09:06
Anchor,2023-10-15,6 min Ago,2600,04:09:06
Hunter,2023-10-15,6 min Ago,4700,04:09:06
Catalyst,2023-10-15,6 min Ago,600,04:09:07
Shadow,2023-10-15,6 min Ago,5000,04:09:07
Wall,2023-10-15,6 min Ago,200,04:09:07
Shield,2023-10-15,6 min Ago,200,04:09:07
Cat,2023-10-15,6 min Ago,350,04:09:07
Glove,2023-10-15,6 min Ago,250,04:09:07
GK Basic,2023-10-15,5 min Ago,1000,04:09:07
