chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,950,18:09:04
Sniper,2023-10-16,8 min Ago,200,18:09:04
Finisher,2023-10-16,8 min Ago,400,18:09:04
Deadeye,2023-10-16,8 min Ago,200,18:09:04
Marksman,2023-10-16,8 min Ago,200,18:09:04
Hawk,2023-10-16,7 min Ago,700,18:09:04
Artist,2023-10-16,7 min Ago,200,18:09:05
Architect,2023-10-16,7 min Ago,200,18:09:05
Powerhouse,2023-10-16,7 min Ago,200,18:09:05
Maestro,2023-10-16,7 min Ago,200,18:09:05
Engine,2023-10-16,7 min Ago,650,18:09:06
Sentinel,2023-10-16,7 min Ago,200,18:09:06
Guardian,2023-10-16,7 min Ago,200,18:09:06
Gladiator,2023-10-16,6 min Ago,200,18:09:06
Backbone,2023-10-16,6 min Ago,200,18:09:06
Anchor,2023-10-16,6 min Ago,2800,18:09:06
Hunter,2023-10-16,5 min Ago,5000,18:09:06
Catalyst,2023-10-16,5 min Ago,450,18:09:06
Shadow,2023-10-16,5 min Ago,5000,18:09:06
Wall,2023-10-16,5 min Ago,200,18:09:06
Shield,2023-10-16,5 min Ago,200,18:09:06
Cat,2023-10-16,4 min Ago,200,18:09:07
Glove,2023-10-16,4 min Ago,200,18:09:07
GK Basic,2023-10-16,4 min Ago,400,18:09:07
