chem,date,delay,price,time
Basic,2023-10-16,9 min Ago,900,01:09:13
Sniper,2023-10-16,9 min Ago,200,01:09:13
Finisher,2023-10-16,8 min Ago,450,01:09:13
Deadeye,2023-10-16,8 min Ago,200,01:09:13
Marksman,2023-10-16,8 min Ago,200,01:09:13
Hawk,2023-10-16,8 min Ago,650,01:09:14
Artist,2023-10-16,8 min Ago,200,01:09:14
Architect,2023-10-16,8 min Ago,200,01:09:14
Powerhouse,2023-10-16,8 min Ago,200,01:09:14
Maestro,2023-10-16,8 min Ago,200,01:09:14
Engine,2023-10-16,7 min Ago,600,01:09:14
Sentinel,2023-10-16,7 min Ago,250,01:09:14
Guardian,2023-10-16,7 min Ago,200,01:09:14
Gladiator,2023-10-16,7 min Ago,200,01:09:14
Backbone,2023-10-16,7 min Ago,200,01:09:14
Anchor,2023-10-16,7 min Ago,2600,01:09:14
Hunter,2023-10-16,7 min Ago,4800,01:09:14
Catalyst,2023-10-16,7 min Ago,450,01:09:14
Shadow,2023-10-16,6 min Ago,4900,01:09:14
Wall,2023-10-16,6 min Ago,200,01:09:14
Shield,2023-10-16,6 min Ago,200,01:09:14
Cat,2023-10-16,6 min Ago,200,01:09:14
Glove,2023-10-16,6 min Ago,200,01:09:14
GK Basic,2023-10-16,6 min Ago,400,01:09:14
