chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,950,13:09:04
Sniper,2023-10-15,8 min Ago,200,13:09:05
Finisher,2023-10-15,8 min Ago,350,13:09:05
Deadeye,2023-10-15,8 min Ago,200,13:09:05
Marksman,2023-10-15,8 min Ago,200,13:09:05
Hawk,2023-10-15,8 min Ago,700,13:09:06
Artist,2023-10-15,7 min Ago,200,13:09:06
Architect,2023-10-15,7 min Ago,200,13:09:06
Powerhouse,2023-10-15,7 min Ago,200,13:09:06
Maestro,2023-10-15,7 min Ago,200,13:09:06
Engine,2023-10-15,7 min Ago,600,13:09:06
Sentinel,2023-10-15,7 min Ago,200,13:09:06
Guardian,2023-10-15,7 min Ago,200,13:09:07
Gladiator,2023-10-15,6 min Ago,200,13:09:07
Backbone,2023-10-15,6 min Ago,200,13:09:07
Anchor,2023-10-15,6 min Ago,2600,13:09:07
Hunter,2023-10-15,5 min Ago,4100,13:09:07
Catalyst,2023-10-15,5 min Ago,450,13:09:07
Shadow,2023-10-15,4 min Ago,4700,13:09:07
Wall,2023-10-15,4 min Ago,200,13:09:07
Shield,2023-10-15,4 min Ago,200,13:09:07
Cat,2023-10-15,4 min Ago,200,13:09:07
Glove,2023-10-15,4 min Ago,200,13:09:07
GK Basic,2023-10-15,4 min Ago,350,13:09:07
