chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,950,13:09:06
Sniper,2023-10-16,8 min Ago,200,13:09:06
Finisher,2023-10-16,8 min Ago,450,13:09:06
Deadeye,2023-10-16,8 min Ago,200,13:09:06
Marksman,2023-10-16,8 min Ago,200,13:09:06
Hawk,2023-10-16,7 min Ago,700,13:09:06
Artist,2023-10-16,7 min Ago,200,13:09:06
Architect,2023-10-16,7 min Ago,200,13:09:06
Powerhouse,2023-10-16,7 min Ago,200,13:09:06
Maestro,2023-10-16,7 min Ago,200,13:09:06
Engine,2023-10-16,7 min Ago,650,13:09:06
Sentinel,2023-10-16,7 min Ago,200,13:09:06
Guardian,2023-10-16,6 min Ago,200,13:09:06
Gladiator,2023-10-16,6 min Ago,200,13:09:06
Backbone,2023-10-16,6 min Ago,200,13:09:06
Anchor,2023-10-16,6 min Ago,2600,13:09:06
Hunter,2023-10-16,5 min Ago,4800,13:09:06
Catalyst,2023-10-16,5 min Ago,1000,13:09:06
Shadow,2023-10-16,5 min Ago,5000,13:09:06
Wall,2023-10-16,5 min Ago,200,13:09:06
Shield,2023-10-16,5 min Ago,200,13:09:06
Cat,2023-10-16,5 min Ago,200,13:09:06
Glove,2023-10-16,4 min Ago,200,13:09:06
GK Basic,2023-10-16,4 min Ago,1000,13:09:07
