chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,850,15:09:05
Sniper,2023-10-16,8 min Ago,200,15:09:05
Finisher,2023-10-16,8 min Ago,400,15:09:05
Deadeye,2023-10-16,8 min Ago,200,15:09:05
Marksman,2023-10-16,8 min Ago,200,15:09:05
Hawk,2023-10-16,7 min Ago,600,15:09:05
Artist,2023-10-16,7 min Ago,200,15:09:05
Architect,2023-10-16,7 min Ago,200,15:09:05
Powerhouse,2023-10-16,7 min Ago,200,15:09:05
Maestro,2023-10-16,7 min Ago,200,15:09:06
Engine,2023-10-16,7 min Ago,650,15:09:06
Sentinel,2023-10-16,6 min Ago,200,15:09:06
Guardian,2023-10-16,6 min Ago,200,15:09:06
Gladiator,2023-10-16,6 min Ago,200,15:09:06
Backbone,2023-10-16,6 min Ago,250,15:09:06
Anchor,2023-10-16,6 min Ago,2300,15:09:06
Hunter,2023-10-16,5 min Ago,4800,15:09:06
Catalyst,2023-10-16,5 min Ago,450,15:09:06
Shadow,2023-10-16,5 min Ago,4700,15:09:06
Wall,2023-10-16,5 min Ago,200,15:09:07
Shield,2023-10-16,5 min Ago,200,15:09:08
Cat,2023-10-16,4 min Ago,200,15:09:08
Glove,2023-10-16,4 min Ago,200,15:09:08
GK Basic,2023-10-16,4 min Ago,400,15:09:08
