chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,850,20:09:05
Sniper,2023-10-15,8 min Ago,200,20:09:06
Finisher,2023-10-15,8 min Ago,450,20:09:06
Deadeye,2023-10-15,8 min Ago,200,20:09:06
Marksman,2023-10-15,8 min Ago,200,20:09:06
Hawk,2023-10-15,7 min Ago,700,20:09:06
Artist,2023-10-15,7 min Ago,200,20:09:06
Architect,2023-10-15,7 min Ago,200,20:09:06
Powerhouse,2023-10-15,7 min Ago,200,20:09:06
Maestro,2023-10-15,7 min Ago,200,20:09:08
Engine,2023-10-15,7 min Ago,650,20:09:08
Sentinel,2023-10-15,6 min Ago,200,20:09:08
Guardian,2023-10-15,6 min Ago,200,20:09:08
Gladiator,2023-10-15,6 min Ago,200,20:09:08
Backbone,2023-10-15,6 min Ago,200,20:09:09
Anchor,2023-10-15,6 min Ago,2800,20:09:09
Hunter,2023-10-15,5 min Ago,5000,20:09:09
Catalyst,2023-10-15,5 min Ago,450,20:09:09
Shadow,2023-10-15,5 min Ago,4900,20:09:09
Wall,2023-10-15,5 min Ago,200,20:09:09
Shield,2023-10-15,5 min Ago,200,20:09:09
Cat,2023-10-15,5 min Ago,200,20:09:09
Glove,2023-10-15,5 min Ago,200,20:09:09
GK Basic,2023-10-15,4 min Ago,300,20:09:09
