chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,900,14:09:06
Sniper,2023-10-16,8 min Ago,200,14:09:06
Finisher,2023-10-16,8 min Ago,450,14:09:06
Deadeye,2023-10-16,8 min Ago,200,14:09:06
Marksman,2023-10-16,8 min Ago,200,14:09:07
Hawk,2023-10-16,7 min Ago,650,14:09:07
Artist,2023-10-16,7 min Ago,200,14:09:07
Architect,2023-10-16,7 min Ago,200,14:09:07
Powerhouse,2023-10-16,7 min Ago,200,14:09:07
Maestro,2023-10-16,7 min Ago,200,14:09:07
Engine,2023-10-16,7 min Ago,650,14:09:07
Sentinel,2023-10-16,6 min Ago,200,14:09:08
Guardian,2023-10-16,6 min Ago,200,14:09:08
Gladiator,2023-10-16,6 min Ago,200,14:09:08
Backbone,2023-10-16,6 min Ago,200,14:09:08
Anchor,2023-10-16,6 min Ago,5000,14:09:10
Hunter,2023-10-16,5 min Ago,4900,14:09:10
Catalyst,2023-10-16,5 min Ago,1000,14:09:10
Shadow,2023-10-16,15 min Ago,4800,14:09:10
Wall,2023-10-16,5 min Ago,200,14:09:10
Shield,2023-10-16,5 min Ago,200,14:09:10
Cat,2023-10-16,4 min Ago,250,14:09:10
Glove,2023-10-16,4 min Ago,200,14:09:10
GK Basic,2023-10-16,4 min Ago,450,14:09:10
