chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,850,20:09:11
Sniper,2023-10-16,8 min Ago,200,20:09:11
Finisher,2023-10-16,8 min Ago,400,20:09:11
Deadeye,2023-10-16,8 min Ago,200,20:09:11
Marksman,2023-10-16,8 min Ago,200,20:09:11
Hawk,2023-10-16,7 min Ago,200,20:09:11
Artist,2023-10-16,7 min Ago,200,20:09:13
Architect,2023-10-16,7 min Ago,200,20:09:13
Powerhouse,2023-10-16,7 min Ago,200,20:09:13
Maestro,2023-10-16,7 min Ago,200,20:09:13
Engine,2023-10-16,7 min Ago,650,20:09:13
Sentinel,2023-10-16,6 min Ago,200,20:09:13
Guardian,2023-10-16,6 min Ago,200,20:09:13
Gladiator,2023-10-16,6 min Ago,200,20:09:14
Backbone,2023-10-16,6 min Ago,200,20:09:14
Anchor,2023-10-16,6 min Ago,2700,20:09:14
Hunter,2023-10-16,5 min Ago,5000,20:09:14
Catalyst,2023-10-16,5 min Ago,450,20:09:14
Shadow,2023-10-16,5 min Ago,3200,20:09:15
Wall,2023-10-16,5 min Ago,200,20:09:16
Shield,2023-10-16,5 min Ago,200,20:09:17
Cat,2023-10-16,4 min Ago,200,20:09:18
Glove,2023-10-16,4 min Ago,200,20:09:18
GK Basic,2023-10-16,4 min Ago,350,20:09:18
