chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,1100,06:09:07
Sniper,2023-10-15,8 min Ago,200,06:09:08
Finisher,2023-10-15,8 min Ago,600,06:09:08
Deadeye,2023-10-15,8 min Ago,200,06:09:08
Marksman,2023-10-15,8 min Ago,200,06:09:08
Hawk,2023-10-15,8 min Ago,800,06:09:08
Artist,2023-10-15,8 min Ago,200,06:09:08
Architect,2023-10-15,7 min Ago,200,06:09:08
Powerhouse,2023-10-15,7 min Ago,200,06:09:08
Maestro,2023-10-15,7 min Ago,200,06:09:08
Engine,2023-10-15,7 min Ago,750,06:09:08
Sentinel,2023-10-15,7 min Ago,300,06:09:08
Guardian,2023-10-15,7 min Ago,200,06:09:08
Gladiator,2023-10-15,7 min Ago,200,06:09:08
Backbone,2023-10-15,7 min Ago,300,06:09:08
Anchor,2023-10-15,6 min Ago,2600,06:09:08
Hunter,2023-10-15,6 min Ago,4700,06:09:08
Catalyst,2023-10-15,6 min Ago,550,06:09:08
Shadow,2023-10-15,6 min Ago,4900,06:09:08
Wall,2023-10-15,6 min Ago,200,06:09:08
Shield,2023-10-15,6 min Ago,200,06:09:08
Cat,2023-10-15,6 min Ago,250,06:09:08
Glove,2023-10-15,5 min Ago,250,06:09:08
GK Basic,2023-10-15,5 min Ago,1000,06:09:08
