chem,date,delay,price,time
Basic,2023-10-15,28 min Ago,900,19:09:07
Sniper,2023-10-15,27 min Ago,200,19:09:10
Finisher,2023-10-15,26 min Ago,450,19:09:10
Deadeye,2023-10-15,26 min Ago,200,19:09:10
Marksman,2023-10-15,26 min Ago,200,19:09:10
Hawk,2023-10-15,25 min Ago,700,19:09:10
Artist,2023-10-15,24 min Ago,200,19:09:10
Architect,2023-10-15,24 min Ago,200,19:09:10
Powerhouse,2023-10-15,24 min Ago,200,19:09:11
Maestro,2023-10-15,24 min Ago,200,19:09:11
Engine,2023-10-15,23 min Ago,650,19:09:11
Sentinel,2023-10-15,22 min Ago,200,19:09:11
Guardian,2023-10-15,22 min Ago,200,19:09:11
Gladiator,2023-10-15,22 min Ago,200,19:09:11
Backbone,2023-10-15,22 min Ago,200,19:09:12
Anchor,2023-10-15,20 min Ago,2700,19:09:12
Hunter,2023-10-15,19 min Ago,4900,19:09:12
Catalyst,2023-10-15,18 min Ago,1000,19:09:12
Shadow,2023-10-15,18 min Ago,4800,19:09:12
Wall,2023-10-15,18 min Ago,200,19:09:12
Shield,2023-10-15,18 min Ago,200,19:09:12
Cat,2023-10-15,17 min Ago,250,19:09:12
Glove,2023-10-15,17 min Ago,200,19:09:12
GK Basic,2023-10-15,17 min Ago,300,19:09:12
