chem,date,delay,price,time
Basic,2023-10-16,9 min Ago,900,00:09:06
Sniper,2023-10-16,8 min Ago,200,00:09:06
Finisher,2023-10-16,8 min Ago,400,00:09:06
Deadeye,2023-10-16,8 min Ago,200,00:09:06
Marksman,2023-10-16,8 min Ago,200,00:09:06
Hawk,2023-10-16,8 min Ago,650,00:09:06
Artist,2023-10-16,8 min Ago,200,00:09:07
Architect,2023-10-16,8 min Ago,200,00:09:07
Powerhouse,2023-10-16,7 min Ago,200,00:09:07
Maestro,2023-10-16,7 min Ago,200,00:09:07
Engine,2023-10-16,7 min Ago,600,00:09:08
Sentinel,2023-10-16,7 min Ago,200,00:09:08
Guardian,2023-10-16,7 min Ago,200,00:09:08
Gladiator,2023-10-16,7 min Ago,200,00:09:08
Backbone,2023-10-16,7 min Ago,200,00:09:08
Anchor,2023-10-16,6 min Ago,2700,00:09:08
Hunter,2023-10-16,6 min Ago,4800,00:09:08
Catalyst,2023-10-16,6 min Ago,450,00:09:09
Shadow,2023-10-16,6 min Ago,4900,00:09:09
Wall,2023-10-16,6 min Ago,200,00:09:09
Shield,2023-10-16,6 min Ago,200,00:09:09
Cat,2023-10-16,6 min Ago,200,00:09:09
Glove,2023-10-16,5 min Ago,200,00:09:09
GK Basic,2023-10-16,5 min Ago,400,00:09:09
