chem,date,delay,price,time
Basic,2023-10-16,8 min Ago,900,06:09:05
Sniper,2023-10-16,8 min Ago,200,06:09:05
Finisher,2023-10-16,8 min Ago,550,06:09:05
Deadeye,2023-10-16,8 min Ago,300,06:09:05
Marksman,2023-10-16,8 min Ago,200,06:09:05
Hawk,2023-10-16,8 min Ago,600,06:09:06
Artist,2023-10-16,8 min Ago,200,06:09:06
Architect,2023-10-16,7 min Ago,200,06:09:06
Powerhouse,2023-10-16,7 min Ago,200,06:09:06
Maestro,2023-10-16,7 min Ago,200,06:09:06
Engine,2023-10-16,7 min Ago,650,06:09:06
Sentinel,2023-10-16,7 min Ago,300,06:09:06
Guardian,2023-10-16,7 min Ago,200,06:09:06
Gladiator,2023-10-16,7 min Ago,200,06:09:07
Backbone,2023-10-16,7 min Ago,200,06:09:07
Anchor,2023-10-16,6 min Ago,2700,06:09:07
Hunter,2023-10-16,6 min Ago,5000,06:09:09
Catalyst,2023-10-16,6 min Ago,550,06:09:09
Shadow,2023-10-16,6 min Ago,4800,06:09:10
Wall,2023-10-16,6 min Ago,200,06:09:10
Shield,2023-10-16,6 min Ago,200,06:09:10
Cat,2023-10-16,5 min Ago,300,06:09:10
Glove,2023-10-16,5 min Ago,250,06:09:10
GK Basic,2023-10-16,5 min Ago,450,06:09:10
