chem,date,delay,price,time
Basic,2023-10-15,8 min Ago,1000,07:09:03
Sniper,2023-10-15,8 min Ago,200,07:09:03
Finisher,2023-10-15,8 min Ago,600,07:09:03
Deadeye,2023-10-15,8 min Ago,200,07:09:03
Marksman,2023-10-15,8 min Ago,200,07:09:03
Hawk,2023-10-15,7 min Ago,800,07:09:03
Artist,2023-10-15,7 min Ago,200,07:09:03
Architect,2023-10-15,7 min Ago,200,07:09:03
Powerhouse,2023-10-15,7 min Ago,300,07:09:04
Maestro,2023-10-15,7 min Ago,200,07:09:04
Engine,2023-10-15,7 min Ago,750,07:09:04
Sentinel,2023-10-15,7 min Ago,300,07:09:04
Guardian,2023-10-15,7 min Ago,200,07:09:04
Gladiator,2023-10-15,6 min Ago,200,07:09:04
Backbone,2023-10-15,6 min Ago,300,07:09:04
Anchor,2023-10-15,6 min Ago,2400,07:09:04
Hunter,2023-10-15,6 min Ago,4800,07:09:04
Catalyst,2023-10-15,6 min Ago,550,07:09:04
Shadow,2023-10-15,6 min Ago,5000,07:09:04
Wall,2023-10-15,5 min Ago,200,07:09:04
Shield,2023-10-15,5 min Ago,200,07:09:05
Cat,2023-10-15,5 min Ago,250,07:09:05
Glove,2023-10-15,5 min Ago,200,07:09:05
GK Basic,2023-10-15,5 min Ago,450,07:09:05
